idcode	birth_yr75	age75	race75	grade75	not_smsa75	south75	ttl_exp75	tenure75	hours75	ln_wage75
1	51	23	2	12	0	0	2.775641	.1666667	10	1.777012
2	51	23	2	12	0	0	2.211539	.6666667	40	1.832581
3	45	29	2	12	0	0	5.942307	.4166667	40	1.53585
4	45	29	1	17	0	0	5.384615	3.75	43	2.258814
5	45	29	1	12	0	0	6.576923	.3333333	40	1.585505
6	46	28	1	12	0	0	4.416667	4.416667	45	1.853972
7										
9	51	23	1	12	0	0	5.583333	5.583333	40	2.017152
10	51	23	1	10	0	0	3.5	.8333333	40	1.391349
12										
13	47	27	1	14	0	0	4.615385	2.166667	24	2.094945
14										
15										
16	48	26	1	15	0	0	4.307693	.5	40	1.832581
17										
18										
19	48	26	1	15	0	0	4.230769	1.75	40	1.932793
20	48	26	1	15	0	0	4.442307	3.416667	40	2.082393
21	48	26	1	15	0	0	3.423077	1.166667	24	1.910543
22	47	27	1	15	0	0	4.185897	.0833333	40	2.316008
23	46	28	1	15	1	0	5.769231	.1666667	40	1.910543
24	46	28	1	14	0	0	5.083333	3.833333	16	1.880084
25	46	29	1	14	0	0	5.769231	1.5	24	2.078174
26										
27										
29										
30										
33										
35										
36	51	23	1	12	0	0	6.647436	.9166667	35	2.086594
37										
38	44	30	1	12	0	0	6.5	.4166667	16	1.440539
39										
40										
41	47	27	1	12	0	0	5.301282	2.166667	40	1.807956
43										
44										
45	52	22	1	12	0	0	3.916667	3.916667	38	2.123636
46										
47										
48										
49										
50										
51										
53	53	21	1	12	0	0	3.083333	3.083333	37	1.468154
54										
55	44	31	1	12	0	0	7.083333	7.083333	40	1.799611
56										
57	45	29	1	12	0	0	3.365385	1.5	15	.6726685
58										
59	48	26	1	12	0	0	1.884615	.3333333	16	1.217396
60	52	23	1	12	0	0	5.25	3.333333	40	1.727221
61	52	22	1	12	1	0	6.461538	.4166667	34	1.266185
62										
63	44	30	1	15	0	0	5	2.083333	16	2.642416
64										
65	45	29	1	15	0	0	4.923077	2.833333	24	2.133687
66										
67										
68										
69	49	25	1	12	0	0	6.211538	1	40	1.665281
70										
71	53	21	1	12	1	0	1.211539	.4166667	35	1.592402
72	52	22	1	12	0	0	5.134616	.4166667	40	1.440539
73	51	23	1	14	1	0	3.596154	.8333333	40	1.632811
75	49	25	2	11	1	0	4.692307	2.416667	40	2.133687
76										
77										
78	47	27	1	12	0	0	4.076923	2.333333	17	1.864499
79										
