idcode	birth_yr85	age85	race85	grade85	not_smsa85	south85	ttl_exp85	tenure85	hours85	ln_wage85
1	51	33	2	12	0	0	7.160256	1.916667	42	2.614172
2	51	33	2	12	0	0	10.17949	1.833333	38	1.789367
3	45	39	2	12	0	0	14.61539	10.33333	40	1.730799
4	45	39	1	17	0	0	10.38461	5.416667	35	1.93017
5										
6	46	38	1	12	0	0	14.41667	14.41667	45	1.958377
7										
9	51	33	1	12	0	0	15.58333	15.5	40	2.373487
10										
12										
13	47	37	1	14	0	0	10.76923	2.166667	1	3.579129
14										
15	48	36	1	16	0	0	12.69231	5	12	2.307946
16	48	36	1	15	0	0	13.09615	10.5	40	2.253929
17										
18	48	36	1	15	0	0	4.333333	4.333333	40	1.538907
19	48	36	1	15	0	0	10.82692	2.166667	43	2.192834
20	48	36	1	15	0	0	12.51282	1.333333	16	2.192834
21	48	36	1	15	0	0	10	10	18	.9855224
22	47	37	1	15	0	0	11.62821	10	20	2.252045
23										
24	46	38	1	14	0	0	13.12179	0	24	2.307946
25	46	38	1	14	0	0	14.57692	2	24	2.154093
26										
27										
29										
30										
33										
35										
36										
37										
38										
39	43	41	1	16	0	0	5.397436	4.5	40	2.314166
40										
41										
43	53	32	1	17	0	0	7.538462	5.75	30	1.817677
44	47	38	1	18	0	0	12.83974	3.5	35	3.145645
45	52	32	1	12	0	0	13.97436	13.91667	38	2.292679
46										
47										
48										
49										
50	52	33	1	16	0	0	6.038462	4	40	2.154093
51										
53										
54										
55										
56										
57										
58										
59	48	36	1	12	0	0	4.75	.3333333	23	1.099209
60										
61										
62	50	34	1	10	1	0	4.038462	2.416667	40	1.499687
63	44	40	1	15	0	0	7	2.083333	12	3.064011
64										
65										
66	48	36	1	13	0	0	8.115385	6.25	20	1.499687
67										
68										
69										
70										
71	53	31	1	12	1	0	7.076923	6.5	35	1.582188
72	52	32	1	12	0	0	6.826923	5.666667	40	1.387637
73	51	33	1	14	1	0	11.44231	10.75	40	1.865718
75	49	35	2	11	1	0	11.84615	9.333333	40	2.302585
76	52	32	2	11	1	0	2.333333	2.333333	35	1.751578
77										
78	47	37	1	12	0	0	12.88462	5.75	35	2.51056
79										
80	42	42	1	14	0	0	2.314103	0	12	2.192834
81										
82										
83										
84										
85	50	35	1	11	0	0	2.846154	.0833333	40	2.192834
86	44	40	1	17	0	0	14.67308	1.416667	39	2.560251
87										
88										
89										
91										
92										
93										
94	45	39	2	10	0	0	2.820513	0	25	.8065398
95										
96										
97	50	34	2	9	0	0	9.833333	9.833333	45	1.969691
98										
99										
100										
103	51	33	1	18	0	0	6.891026	1.333333	30	2.154093
104										
105										
106	49	35	2	12	0	1	14.08333	14.08333	40	2.376821
107	44	40	2	8	0	0	6.391025	1.25	40	1.114024
108										
109	46	38	1	12	0	0	5.371795	5.333333	38	1.446286
110										
111										
112										
114										
115	51	34	2	12	0	0	8.25	1.5	32	1.746547
117										
118	45	40	3	8	0	0	9.256411	8.833333	30	1.799792
119										
120										
121	48	36	2	12	0	0	17.16667	17.16667	38	2.268868
122										
123										
124										
125										
126	48	36	2	12	0	0	16.25	16.25	38	2.135205
127										
128	52	33	1	12	0	0	15.66667	15.58333	38	2.088583
129	44	40	1	12	0	0	10.92308	6.666667	40	1.905152
130	45	39	1	12	0	0	4.807692	0	40	1.639449
131	47	37	1	12	0	0	9.032051	4.75	50	1.420644
132	51	33	1	10	0	0	7.01282	.6666667	40	1.105162
133	45	39	1	12	0	0	4.769231	.9166667	24	1.276543
134	46	38	1	12	0	0	2.705128	.25	20	1.394326
135										
136										
137	52	33	2	17	0	0	6.5	6.5	35	2.382627
138	53	31	2	12	0	0	9.153847	8.916667	38	1.883587
139	44	40	2	9	0	0	5.083333	5.083333	25	1.792356
141	45	39	1	14	0	0	9.467949	.25	40	1.682009
142	45	39	1	18	0	0	11.90385	2.333333	40	2.385106
143										
144	44	40	1	10	0	1	11.96154	0	20	1.337168
145	51	33	1	11	0	0	15.58333	15.58333	35	2.32649
146	51	33	1	14	0	0	4.269231	1.083333	30	1.787869
147										
149										
150										
151										
152	51	34	1	18	0	0	10.5	1.5	50	2.025598
153	52	32	1	12	0	0	13.57051	13.33333	38	2.105095
156										
158	46	38	2	12	0	0	16.91667	16.91667	35	2.038517
159	51	33	1	11	0	0	13.91667	13.91667	40	2.075176
160										
161										
162	51	33	1	8	0	0	17.3718	17.25	40	1.499687
163										
164										
165										
166										
167	50	34	1	13	1	1	14.36538	4.083333	30	1.499687
168	47	37	1	17	0	1	8.993589	.5	45	1.456779
169	52	32	1	16	0	0	11.33333	11.33333	45	1.594997
170										
171	45	39	1	14	0	0	15.32692	6.75	40	2.192834
172	43	41	1	15	0	0	14.42949	0	32	2.368467
173										
174										
175										
176										
177										
178	46	39	2	10	0	0	1.551282	.4166667	15	1.143012
180										
181										
182										
183	45	39	1	12	0	0	13.75641	9.833333	40	2.192834
184										
185										
186										
187										
188	46	38	1	12	0	0	9.846153	4.916667	40	2.376821
189										
190	52	32	1	16	0	0	9.346154	2.583333	40	2.545601
191										
192										
193										
194										
195										
196	47	37	1	12	0	0	15.16667	15.16667	38	1.394902
198										
199										
200										
201	49	35	1	12	0	0	13.07692	8	35	1.964678
202										
203										
204	50	34	2	10	0	0	2.211539	.5833333	40	1.499687
205										
206										
207	50	34	2	18	0	0	10.44231	2.5	40	2.453659
208										
209	52	32	2	12	0	1	8.153846	4.083333	40	1.990718
