idcode	birth_yr68	age68	race68	grade68	not_smsa68	south68	ttl_exp68	tenure68	hours68	ln_wage68
1										
2										
3	45	22	2	12	0	0	.9230769	0	40	1.493561
4										
5	45	22	1	12	0	0	1	0	40	1.627093
6	46	21	1	12	0	0	.2884615	.1666667	40	1.521732
7	49	19	1	12	0	0	1	.8333333	40	1.482067
9										
10										
12										
13										
14										
15										
16										
17										
18										
19										
20										
21										
22										
23										
24	46	21	1	14	0	0	.5833333	.5833333	40	1.3722
25	46	22	1	14	0	0	.5	.5	40	1.885603
26	44	23	1	14	0	0	.5	.5	40	1.934577
27	46	22	1	14	0	0	.4166667	.4166667	40	1.991736
29										
30										
33	46	22	1	12	0	0	.8461539	0	40	1.565217
35										
36										
37	48	19	1	12	0	0	1.416667	1.416667	40	1.416372
38	44	23	1	12	0	0	1.5	1.5	40	1.753725
39										
40										
41	47	20	1	12	0	0	.4166667	.4166667	40	1.403949
43										
44										
45										
46										
47										
48										
49	47	21	1	12	0	0	.3076923		35	1.708672
50										
51										
53										
54										
55	44	24	1	12	0	0	.9038461	0	40	1.452739
56	49	19	1	12	0	0	.2884615	.25	45	1.850236
57	45	22	1	12	0	0	.8076923	0	38	1.58627
58										
59	48	19	1	12	0	0	1	0	38	1.434721
60										
61										
62	50	17	1	10	0	0	.25	.1666667	24	.6462636
63	44	23	1	15	0	0	1	0	40	2.081348
64										
65	45	22	1	15	0	0	.7692308	.5	40	2.255702
66	48	19	1	13	0	0	.2307692	.1666667	40	1.248756
67										
68	43	24	1	16	1	0	1.416667	1.416667	35	2.039202
69										
70										
71										
72										
73										
75	49	18	2	11	1	0	.1153846	0	48	1.339411
76										
77										
78										
79	47	20	2	7	0	0	.5	.25	40	1.493561
80										
81										
82	47	20	1	12	0	0	.5769231	.4166667	35	1.817712
83										
84	45	22	1	12	0	0	1	0	35	1.981264
85										
86	44	23	1	17	0	0	1	.0833333	40	2.025869
87										
88	46	21	1	12	0	0	1	0	37	1.704054
89										
91	41	26	1	13	0	0	.8269231	.5	50	2.186709
92										
93										
94										
95	50	17	2	11	0	0	1	.0833333	48	1.219125
96										
97	50	17	2	9	0	0	.2307692	0	22	1.476269
98	47	20	2	11	0	0	.9615384	0	37	1.666314
99										
100	45	22	1	16	0	0	1	.5	40	2.025869
103										
104										
105										
106										
107	44	23	2	8	0	0	.5833333	.5833333	38	1.314638
108										
109										
110										
111										
112										
114										
115										
117	53	14	3	8	0	0	.1666667	.1666667	14	1.064973
118	45	23	3	8	0	0	.0833333	.0833333	40	1.339411
119										
120										
121	48	19	2	12	0	0	.8269231	.25	40	1.549131
122										
123	47	21	3	6	0	0	4.166667	4.166667	40	1.521732
124	45	22	2	0	0	0	.2307692	.0833333	40	1.196309
125										
126	48	19	2	12	0	0	.6666667	.6666667	30	1.39137
127										
128										
129	44	23	1	12	0	0	1	0	35	2.078168
130	45	22	1	12	0	0	1	0	40	1.627093
131	47	20	1	12	0	0	1.666667	1.666667	39	1.543711
132										
133	45	22	1	12	0	0	1	.9166667	38	1.735947
134										
135										
136										
137										
138										
139	44	23	2	9	0	0	.6730769	.25	40	1.339411
141										
142										
143										
144	44	23	1	10	0	0	.75	0	38	1.838163
145										
146										
147										
149										
150										
151										
152										
153										
156										
158	46	21	2	12	0	0	1	0	35	1.627093
159										
160	48	19	1	12	0	0	.4615385		40	1.559884
161	48	19	1	8	0	0	1	0	40	1.339411
162	51	16	1	8	0	0	.3333333	.3333333	40	1.403949
163	48	19	1	12	0	0	.5833333	.5833333	38	1.470438
164										
