"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 10- 21","273.79","273.87","274.10","272.67","45.39M","0.36%"
"2019- 10- 18","272.81","275.99","277.06","272.28","71.47M","-1.00%"
"2019- 10- 17","275.57","275.92","276.68","274.62","53.87M","-0.27%"
"2019- 10- 16","276.32","276.26","277.59","275.24","65.38M","0.72%"
"2019- 10- 15","274.34","273.85","275.09","273.83","53.05M","0.04%"
"2019- 10- 14","274.23","274.71","275.75","273.97","71.05M","1.08%"
"2019- 10- 11","271.30","271.68","272.68","270.58","59.64M","0.93%"
"2019- 10- 10","268.80","268.79","270.78","266.23","98.18M","-0.94%"
"2019- 10- 08","271.36","268.90","271.51","267.97","75.08M","1.38%"
"2019- 10- 07","267.67","269.12","269.75","266.83","53.57M","0.10%"
"2019- 10- 04","267.39","268.14","270.16","267.39","62.88M","-0.43%"
"2019- 10- 02","268.55","272.39","272.42","268.55","66.21M","-2.14%"
"2019- 10- 01","274.42","273.43","275.38","272.81","52.63M","0.32%"
"2019- 09- 30","273.55","270.61","273.85","270.06","54.69M","0.82%"
"2019- 09- 27","271.33","273.32","273.40","270.52","57.74M","-1.30%"
"2019- 09- 26","274.89","275.61","276.38","273.50","89.59M","0.17%"
"2019- 09- 25","274.42","276.67","277.04","274.12","70.84M","-1.28%"
"2019- 09- 24","277.97","276.41","278.17","275.55","68.27M","0.48%"
"2019- 09- 23","276.65","275.86","277.11","275.64","60.19M","0.08%"
"2019- 09- 20","276.44","275.01","276.67","274.46","74.03M","0.55%"
"2019- 09- 19","274.92","273.11","276.15","273.03","70.50M","0.68%"
"2019- 09- 18","273.06","271.88","273.72","271.04","67.60M","0.51%"
"2019- 09- 17","271.68","271.46","272.26","270.90","73.74M","-0.12%"
"2019- 09- 16","272.02","271.48","272.03","269.59","103.34M","0.44%"
"2019- 09- 11","270.84","270.35","271.35","269.58","103.90M","0.77%"
"2019- 09- 10","268.76","267.96","269.13","267.35","66.34M","0.51%"
"2019- 09- 09","267.40","266.11","268.67","265.92","62.21M","0.70%"
"2019- 09- 06","265.53","266.20","266.36","264.74","59.20M","0.41%"
"2019- 09- 05","264.44","262.53","266.00","262.27","88.99M","1.05%"
"2019- 09- 04","261.69","257.89","261.69","257.76","69.29M","1.33%"
"2019- 09- 03","258.25","258.55","259.67","257.40","64.32M","-0.32%"
"2019- 09- 02","259.08","258.25","259.74","257.80","54.89M","0.03%"
"2019- 08- 30","259.00","256.85","259.61","256.72","94.16M","1.84%"
"2019- 08- 29","254.31","255.68","256.28","253.60","64.85M","-0.48%"
"2019- 08- 28","255.53","254.20","255.98","253.65","58.34M","0.80%"
"2019- 08- 27","253.50","253.74","254.96","252.53","93.38M","0.52%"
"2019- 08- 26","252.19","251.80","253.14","250.99","62.61M","-1.53%"
"2019- 08- 23","256.11","255.11","256.88","254.91","54.78M","-0.07%"
"2019- 08- 22","256.28","258.53","258.73","256.25","67.25M","-0.81%"
"2019- 08- 21","258.38","257.15","259.49","257.11","65.48M","0.13%"
"2019- 08- 20","258.05","255.53","258.62","254.74","81.69M","1.15%"
"2019- 08- 19","255.11","255.20","255.84","254.25","66.02M","0.48%"
"2019- 08- 16","253.90","252.76","253.94","251.46","71.83M","-0.38%"
"2019- 08- 14","254.86","255.84","256.82","254.59","82.24M","0.80%"
"2019- 08- 13","252.83","253.50","254.58","252.63","76.82M","-0.99%"
"2019- 08- 12","255.35","255.57","256.43","254.43","69.38M","0.20%"
"2019- 08- 09","254.85","255.13","256.15","254.41","117.69M","0.97%"
"2019- 08- 08","252.40","254.11","255.33","252.37","163.71M","0.16%"
"2019- 08- 07","252.00","254.46","254.90","251.08","90.74M","-0.56%"
"2019- 08- 06","253.41","250.85","257.04","250.24","123.17M","-1.47%"
"2019- 08- 05","257.19","261.10","261.40","256.76","131.04M","-2.21%"
"2019- 08- 02","262.99","262.61","263.94","261.75","99.66M","-1.03%"
"2019- 08- 01","265.73","264.97","267.44","264.47","72.58M","-0.23%"
"2019- 07- 31","266.34","268.46","269.14","265.00","96.24M","-0.97%"
"2019- 07- 30","268.95","268.69","269.79","268.33","64.53M","0.45%"
"2019- 07- 29","267.75","271.21","271.91","267.07","78.75M","-1.65%"
"2019- 07- 26","272.25","271.41","272.56","270.57","89.84M","-0.29%"
"2019- 07- 25","273.04","274.08","274.62","271.25","95.65M","-0.07%"
"2019- 07- 24","273.22","275.12","276.48","272.91","84.29M","-0.98%"
"2019- 07- 23","275.92","274.93","276.56","274.84","95.08M","0.50%"
"2019- 07- 22","274.55","273.90","275.35","273.57","60.91M","0.00%"
"2019- 07- 19","274.55","272.71","274.95","272.21","87.94M","1.43%"
"2019- 07- 18","270.67","271.05","271.63","269.73","80.14M","-0.30%"
"2019- 07- 17","271.48","272.13","272.28","270.29","117.95M","-0.94%"
"2019- 07- 16","274.05","272.79","274.54","272.14","137.05M","0.52%"
"2019- 07- 15","272.64","272.06","273.38","270.99","83.61M","-0.01%"
"2019- 07- 12","272.68","272.21","273.23","271.28","55.66M","0.33%"
"2019- 07- 11","271.78","270.58","272.97","270.46","107.37M","1.13%"
"2019- 07- 10","268.75","269.29","270.33","268.60","67.51M","0.38%"
"2019- 07- 09","267.72","269.60","270.22","267.72","71.88M","-0.31%"
"2019- 07- 08","268.55","271.38","271.67","268.38","75.10M","-2.11%"
"2019- 07- 05","274.35","274.74","275.23","272.41","60.02M","-0.07%"
"2019- 07- 04","274.54","273.18","274.61","271.93","77.52M","0.80%"
"2019- 07- 03","272.37","275.57","276.69","271.90","97.52M","-1.30%"
"2019- 07- 02","275.97","276.06","277.46","274.63","65.54M","-0.47%"
"2019- 07- 01","277.27","279.59","279.68","276.85","74.36M","-0.08%"
"2019- 06- 28","277.50","278.03","278.56","276.58","67.60M","-0.09%"
"2019- 06- 27","277.75","275.47","278.63","275.09","66.30M","0.81%"
"2019- 06- 26","275.53","275.21","276.36","274.66","58.82M","0.09%"
"2019- 06- 25","275.28","275.33","277.02","274.19","60.51M","-0.11%"
"2019- 06- 24","275.58","275.91","276.73","275.13","55.54M","0.04%"
"2019- 06- 21","275.48","276.17","276.26","274.60","77.28M","-0.19%"
"2019- 06- 20","276.01","274.63","276.09","274.43","55.34M","0.25%"
"2019- 06- 19","275.31","274.40","275.60","274.08","69.73M","1.46%"
"2019- 06- 18","271.36","269.77","271.87","269.77","65.72M","0.47%"
"2019- 06- 17","270.09","269.83","271.59","269.14","57.06M","-0.14%"
"2019- 06- 14","270.48","270.19","271.55","268.96","66.71M","-0.24%"
"2019- 06- 13","271.13","271.96","272.46","268.38","95.80M","-0.59%"
"2019- 06- 12","272.74","273.14","274.32","272.00","66.92M","-0.17%"
"2019- 06- 11","273.21","271.48","273.69","271.24","61.24M","0.41%"
"2019- 06- 10","272.10","270.32","272.20","268.68","60.89M","1.43%"
"2019- 06- 07","268.27","267.97","269.63","266.27","67.97M","0.10%"
"2019- 06- 05","267.99","270.10","270.46","267.46","67.51M","0.12%"
"2019- 06- 04","267.66","267.84","268.47","266.72","70.29M","-0.19%"
"2019- 06- 03","268.16","262.68","268.55","262.33","83.61M","1.62%"
"2019- 05- 31","263.89","262.48","265.21","261.53","77.79M","-0.02%"
"2019- 05- 30","263.93","261.58","264.23","261.58","70.34M","0.98%"
"2019- 05- 29","261.37","264.10","264.10","260.22","82.79M","-1.26%"
"2019- 05- 28","264.70","264.38","266.16","263.27","147.26M","0.11%"
"2019- 05- 27","264.40","264.18","265.85","263.17","53.14M","-0.01%"
"2019- 05- 24","264.42","264.70","266.11","263.10","67.23M","-0.74%"
"2019- 05- 23","266.38","266.40","267.12","264.50","71.66M","-0.10%"
"2019- 05- 22","266.65","267.01","267.60","263.95","61.66M","0.20%"
"2019- 05- 21","266.12","265.25","268.55","264.79","81.02M","0.44%"
"2019- 05- 20","264.96","265.90","267.65","264.33","64.23M","0.23%"
"2019- 05- 17","264.35","267.85","268.06","263.94","75.10M","-0.62%"
"2019- 05- 16","265.99","269.83","269.96","265.24","75.96M","-1.35%"
"2019- 05- 15","269.64","268.42","271.00","267.62","77.02M","0.40%"
"2019- 05- 14","268.57","266.03","270.42","265.55","82.19M","-0.06%"
"2019- 05- 13","268.72","269.80","271.54","268.55","66.87M","-1.23%"
"2019- 05- 10","272.06","273.37","274.32","269.71","89.44M","0.39%"
"2019- 05- 09","271.00","278.83","279.63","271.00","124.01M","-3.27%"
"2019- 05- 08","280.15","277.85","281.84","277.84","75.00M","-0.41%"
"2019- 05- 07","281.31","280.89","281.66","278.95","97.72M","-0.83%"
"2019- 05- 03","283.67","285.64","285.95","283.14","67.79M","-0.86%"
"2019- 05- 02","286.12","283.37","286.87","283.14","84.18M","0.42%"
"2019- 04- 30","284.92","286.25","286.59","282.61","77.99M","-0.65%"
"2019- 04- 29","286.79","282.00","286.79","281.81","66.98M","1.94%"
"2019- 04- 26","281.34","280.86","282.47","279.70","76.72M","-0.53%"
"2019- 04- 25","282.83","282.80","284.22","281.90","74.58M","-0.31%"
"2019- 04- 24","283.70","287.82","287.82","281.96","88.61M","-0.97%"
"2019- 04- 23","286.47","285.85","286.83","285.42","67.38M","0.21%"
"2019- 04- 22","285.87","286.06","287.59","284.52","55.19M","-0.01%"
"2019- 04- 19","285.89","287.18","287.48","285.72","63.87M","0.02%"
"2019- 04- 18","285.82","290.88","291.15","285.38","89.65M","-1.55%"
"2019- 04- 17","290.33","290.68","291.21","289.84","72.67M","-0.10%"
"2019- 04- 16","290.62","289.18","290.76","288.77","96.13M","0.43%"
"2019- 04- 15","289.38","289.54","290.74","289.12","80.43M","0.35%"
"2019- 04- 12","288.37","286.89","288.62","285.83","69.06M","0.33%"
"2019- 04- 11","287.42","288.33","288.71","286.38","84.68M","-0.17%"
"2019- 04- 10","287.92","285.44","288.01","285.10","75.08M","0.42%"
"2019- 04- 09","286.71","286.51","288.02","285.38","66.23M","0.12%"
"2019- 04- 08","286.38","287.78","287.83","285.09","64.57M","-0.10%"
"2019- 04- 05","286.68","286.03","287.53","285.93","64.89M","0.19%"
"2019- 04- 04","286.15","285.29","287.75","284.97","73.80M","0.18%"
"2019- 04- 03","285.65","281.88","285.65","281.22","91.59M","1.39%"
"2019- 04- 02","281.72","281.67","282.47","281.00","72.18M","0.50%"
"2019- 04- 01","280.32","278.41","280.93","278.41","76.67M","1.39%"
"2019- 03- 29","276.48","276.33","277.01","274.32","82.28M","0.51%"
"2019- 03- 28","275.08","275.02","276.20","273.90","66.92M","-0.79%"
"2019- 03- 27","277.28","277.01","278.16","274.87","67.77M","-0.12%"
"2019- 03- 26","277.60","278.43","278.49","276.91","65.75M","0.05%"
"2019- 03- 25","277.45","279.12","279.21","277.19","77.32M","-2.01%"
"2019- 03- 22","283.13","283.92","284.55","282.09","117.73M","0.27%"
"2019- 03- 21","282.38","281.14","284.39","280.63","97.09M","0.88%"
"2019- 03- 20","279.92","278.84","280.07","276.34","61.17M","0.04%"
"2019- 03- 19","279.82","280.30","280.40","278.63","55.39M","-0.04%"
"2019- 03- 18","279.93","280.27","280.77","278.92","60.90M","0.02%"
"2019- 03- 15","279.87","276.42","280.50","276.31","123.13M","1.17%"
"2019- 03- 14","276.64","276.79","277.40","274.78","95.82M","0.23%"
"2019- 03- 13","276.00","276.92","277.12","274.04","61.49M","-0.62%"
"2019- 03- 12","277.73","277.41","278.48","276.94","63.96M","0.97%"
"2019- 03- 11","275.06","275.50","276.28","273.88","64.83M","0.08%"
"2019- 03- 08","274.84","277.18","278.00","274.84","71.64M","-1.45%"
"2019- 03- 07","278.87","279.33","280.98","277.44","78.64M","-0.35%"
"2019- 03- 06","279.85","280.09","280.26","278.72","75.23M","-0.21%"
"2019- 03- 05","280.45","281.42","281.89","279.53","78.81M","-0.73%"
"2019- 03- 04","282.51","286.12","286.68","282.16","107.55M","-0.45%"
"2019- 02- 28","283.80","288.13","288.62","283.80","129.09M","-1.72%"
"2019- 02- 27","288.76","288.90","289.41","288.09","72.74M","0.30%"
"2019- 02- 26","287.89","288.52","289.20","287.06","81.33M","-0.38%"
"2019- 02- 25","289.00","290.19","290.32","287.84","73.42M","0.09%"
"2019- 02- 22","288.74","287.29","288.74","286.54","70.34M","0.11%"
"2019- 02- 21","288.41","287.43","289.28","286.05","88.24M","0.00%"
"2019- 02- 20","288.40","286.55","289.22","286.21","88.58M","1.22%"
"2019- 02- 19","284.91","285.36","286.12","283.16","62.75M","-0.35%"
"2019- 02- 18","285.90","285.60","287.02","284.64","73.48M","0.68%"
"2019- 02- 15","283.98","286.42","286.42","282.81","77.19M","-1.63%"
"2019- 02- 14","288.68","284.25","288.68","282.91","112.39M","1.30%"
"2019- 02- 13","284.97","285.09","285.59","284.13","93.29M","0.45%"
"2019- 02- 12","283.69","282.12","284.32","281.43","92.11M","0.56%"
"2019- 02- 11","282.10","281.75","282.19","280.02","79.97M","0.22%"
"2019- 02- 08","281.49","283.85","284.01","280.95","88.71M","-1.46%"
"2019- 02- 07","285.65","287.54","287.67","284.97","100.69M","-0.05%"
"2019- 02- 01","285.79","287.07","288.34","285.43","114.63M","-0.03%"
"2019- 01- 31","285.89","288.85","288.87","285.89","153.50M","-0.25%"
"2019- 01- 30","286.62","282.86","286.63","282.24","134.73M","1.28%"
"2019- 01- 29","283.00","281.12","283.00","279.65","130.94M","0.48%"
"2019- 01- 28","281.64","282.56","283.46","280.47","95.97M","-0.01%"
"2019- 01- 25","281.67","277.30","281.72","277.04","115.51M","1.83%"
"2019- 01- 24","276.61","274.10","276.64","273.74","132.86M","1.00%"
"2019- 01- 23","273.87","271.35","274.51","271.03","99.96M","0.43%"
"2019- 01- 22","272.71","274.08","274.60","271.45","68.87M","-0.47%"
"2019- 01- 21","274.00","274.99","275.14","272.29","86.55M","0.04%"
"2019- 01- 18","273.88","273.02","273.95","272.56","78.97M","0.74%"
"2019- 01- 17","271.88","271.66","273.05","270.81","86.75M","0.24%"
"2019- 01- 16","271.23","269.96","271.28","269.05","100.50M","0.48%"
"2019- 01- 15","269.93","265.62","270.02","265.37","87.17M","1.86%"
"2019- 01- 14","264.99","266.22","266.70","264.23","74.93M","-0.80%"
"2019- 01- 11","267.13","266.58","267.58","265.56","81.08M","0.59%"
"2019- 01- 10","265.55","265.73","266.85","264.61","99.83M","-0.02%"
"2019- 01- 09","265.60","260.95","266.05","260.87","98.75M","2.29%"
"2019- 01- 08","259.65","261.29","262.43","259.39","86.91M","-0.73%"
"2019- 01- 07","261.57","261.11","263.13","260.76","92.32M","1.43%"
"2019- 01- 04","257.89","255.62","258.12","254.55","91.20M","0.83%"
"2019- 01- 03","255.77","258.19","258.70","255.35","90.52M","-0.95%"
