idcode	birth_yr80	age80	race80	grade80	not_smsa80	south80	ttl_exp80	tenure80	hours80	ln_wage80
1	51	28	2	12	0	0	5.294872	1.833333	45	2.551715
2	51	28	2	12	0	0	6.096154	5.583333	40	1.726964
3	45	34	2	12	0	0	9.865385	5.333333	40	1.559723
4	45	34	1	17	0	0	5.692307	.3333333	45	1.476236
5	45	34	1	12	0	0	9.346154	1.833333	40	1.830269
6	46	33	1	12	0	0	9.416667	9.416667	45	1.846798
7										
9	51	28	1	12	0	0	10.52564	10.5	40	2.113776
10	51	28	1	10	0	0	3.961539	.4166667	40	1.275272
12										
13	47	32	1	14	0	0	7.365385		40	2.050446
14										
15	48	31	1	16	0	0	8.769231	.0833333	35	2.383516
16	48	31	1	15	0	0	8.211538	5.416667	40	1.979646
17										
18										
19	48	31	1	15	0	0	6.942307	2.833333	25	1.704118
20	48	31	1	15	0	0	8.378204	2	16	1.958695
21										
22	47	32	1	15	0	0	7.74359	5.083333	24	2.160106
23										
24	46	33	1	14	0	0	8.237179	3.25	16	1.998605
25	46	33	1	14	0	0	9.692308	6.416667	24	2.096898
26										
27										
29										
30										
33										
35										
36										
37										
38										
39										
40										
41										
43										
44										
45	52	27	1	12	0	0	8.833333	8.833333	38	2.209466
46										
47										
48	52	27	1	15	0	0	2.961539	.1666667	35	1.331023
49										
50										
51										
53	53	26	1	12	0	0	3.333333	.0833333	34	1.027222
54										
55										
56										
57	45	34	1	12	0	0	6.903846	6.416667	20	.7536355
58										
59										
60										
61										
62										
63										
64										
65										
66	48	31	1	13	0	0	4.230769	1.333333	20	1.322525
67										
68										
69										
70										
71	53	26	1	12	0	0	2.211539	1.416667	30	1.325597
72										
73	51	28	1	14	1	0	7.480769	5.75	40	1.830269
75	49	30	2	11	1	0	7.961538	7.333333	40	2.341095
76										
77	53	26	2	10	1	0	2.583333	2.583333	35	1.275272
78	47	32	1	12	0	0	7.942308	.6666667	40	1.559723
79										
80										
81	47	32	1	10	0	0	.25	.25	35	1.349841
82										
83	52	27	1	12	0	0	8.333334	3.916667	36	1.857668
84										
85										
86	44	36	1	17	0	0	10.17308	.4166667	45	2.219554
87										
88										
89										
91										
92										
93										
94										
95										
96										
97										
98										
99										
100										
103	51	28	1	18	0	0	5.333333	5.333333	40	1.826558
104										
105										
106	49	30	2	12	0	1	9.083333	9.083333	40	2.138571
107										
108										
109	46	33	1	12	0	0	.4166667	.4166667	30	1.275272
110										
111	43	36	1	5	0	0	10.5	0	40	1.465626
112										
114										
115	51	28	2	12	0	0	4.237179	4.166667	40	1.322525
117										
118	45	35	3	8	0	0	4.948718	3.916667	40	1.685029
119										
120										
121										
122										
123										
124										
125										
126	48	31	2	12	0	0	11.33333	11.33333	38	2.026384
127										
128	52	28	1	12	0	0	10.58333	10.58333	40	1.894808
129	44	35	1	12	0	0	6.096154	1.75	40	1.465626
130										
131										
132	51	28	1	10	0	0	4.878205	.4166667	20	1.839485
133										
134										
135	48	32	2	8	0	0	1.230769	.3333333	20	1.755306
136										
137										
138										
139										
141	45	34	1	14	0	0	5.73718	.8333333	38	1.669926
142	45	34	1	18	0	0	8	.3333333	38	2.295632
143										
144										
145										
146										
147										
149										
150										
151										
152										
153	52	27	1	12	0	0	8.666667	8.333333	38	1.778975
156	51	28	2	11	0	0	5.583333	1.083333	40	1.32866
158										
159	51	28	1	11	0	0	8.916667	8.916667	36	2.154765
160										
161	48	31	1	8	0	0	4.788462	.0833333	40	1.702015
162	51	28	1	8	0	0	12.25641	12.25	40	1.155471
163										
164										
165										
166										
167	50	29	1	13	0	0	9.884615	1.75	40	2.085485
168										
169										
170										
171										
172	43	36	1	15	0	0	9.544872	7.833333	10	2.218299
173	45	34	2	12	0	0	7.621795	.0833333	40	1.396633
174	44	35	1	12	0	0	12.46795	12.41667	35	2.239431
175										
176	50	29	2	12	0	0	6.884615	3.166667	45	1.802098
177	50	29	2	0	0	0	.974359	.4166667	40	1.432687
178	46	34	2	10	0	0	.301282	.0833333	25	1.396633
180										
181										
182										
183	45	34	1	12	0	0	8.871796	4.833333	40	2.071034
184	46	33	1	12	0	0	5.519231	3.666667	34	1.848619
185	50	29	1	15	0	0	10.29487	0	38	2.550815
186										
187										
188	46	33	1	12	0	0	4.980769		38	1.922207
189										
190										
191										
192										
193										
194										
195	52	28	1	12	0	0	7.397437	.3333333	15	1.242483
196										
198										
199										
200										
201	49	30	1	12	0	0	8.5	3	37	1.656797
202										
203	46	33	1	11	0	1	10.66667	10.66667	40	1.973247
204										
205										
206										
207										
208										
209	52	27	2	12	0	1	3.538461	.0833333	9	1.300751
210	50	29	2	11	0	0	8.794872	3.5	40	2.106778
211	48	31	2	11	0	0	7.666667	7.666667	40	1.887839
212	50	29	2	13	0	0	10.61538	10.5	68	1.169912
213	44	35	1	10	0	0	8.557693	6	40	1.722849
214	53	26	1	10	0	0	2.852564	1.5	20	1.702015
215	51	28	1	16	0	0	8.02564	2	47	1.733105
216										
217										
218	52	27	1	12	1	0	6.807692	.6666667	28	1.208581
219	53	26	1	13	0	0	8.551282	.4166667	40	1.647948
220	49	30	1	12	0	0	10	1.416667	40	1.590789
221										
222										
223	50	29	1	16	0	0	7.858974	.5	45	1.634524
224										
225										
226										
227	46	33	1	15	0	1	10.88461	1.666667	40	1.848619
228										
229										
230	52	27	1	17	0	0	5.224359	1.333333	20	2.515981
231										
232	50	29	1	18	0	0	5.141026	2.333333	37	2.162765
233	52	27	1	16	1	0	5.416667	5.416667	38	1.515051
235										
236	52	28	1	18	0	0	2.076923	.5833333	60	1.672098
237	51	28	1	17	0	0	5.653846	1.25	33	1.509962
238										
239										
242										
243										
244										
245										
246										
247										
250										
251										
252	50	30	1	12	0	0	10.07692	5.916667	40	1.784807
253										
254	49	30	1	12	0	1	8.153846	1.333333	40	1.833966
255										
256										
257	49	30	2	16	0	1	4.038462	1.083333	40	2.015672
258										
259										
260	50	29	1	12	0	0	2.647436	2.5	40	1.578954
261	46	33	1	12	0	0	.3333333	.3333333	40	.257199
262										
263										
264										
265										
266										
267										
268										
269										
270										
271										
272										
