idcode	birth_yr71	age71	race71	grade71	not_smsa71	south71	ttl_exp71	tenure71	hours71	ln_wage71
1	51	19	2	12	0	0	1.275641	.0833333	44	1.02862
2	51	19	2	12	0	0	.7115384	.25	40	1.360348
3	45	25	2	12	0	0	3.442308	1.416667	40	1.54742
4	45	25	1	17	0	0	3.192308	2.416667	35	2.375578
5	45	25	1	12	0	0	4.038462	2.916667	40	1.858522
6	46	24	1	12	0	0	1.384615	.4166667	40	1.518572
7	49	22	1	12	0	0	4	3.75	40	1.49388
9	51	19	1	12	0	0	1.769231	1.583333	40	1.717023
10	51	19	1	10	0	0	2.455128	2.416667	40	1.611663
12										
13	47	23	1	14	0	0	3	1.416667	40	1.954463
14										
15										
16	48	22	1	15	0	0	1.365385	.6666667	40	1.984131
17	48	22	1	15	0	0	1.461539	1.416667	40	1.954463
18										
19	48	22	1	15	0	0	1.557692	1.5	40	2.042001
20	48	22	1	15	0	0	1.5	1.5	40	2.081666
21										
22	47	23	1	15	0	0	2.416667	2.416667	40	2.042001
23										
24	46	24	1	14	0	0	2.679487	1.75	40	2.087567
25	46	25	1	14	0	0	3.153846	2.833333	40	2.168054
26	44	26	1	14	1	0	3.519231	3.5	40	2.122488
27	46	25	1	14	0	0	3.416667	3.333333	40	2.122488
29	48	22	1	13	0	0	2.288462	.9166667	35	2.111764
30	50	20	1	8	0	0	3.24359	.5833333	40	1.539446
33										
35										
36	51	19	1	12	0	0	3.628205	1.333333	40	1.597714
37										
38	44	26	1	12	0	0	4.615385	2.083333	25	1.49388
39										
40	50	20	1	14	0	0	1.134615	.75	40	1.75239
41	47	23	1	12	0	0	2.74359	1.833333	40	1.633641
43										
44										
45										
46										
47										
48										
49	47	24	1	12	0	0	3.423077	2.666667	35	1.848051
50										
51	50	20	1	12	0	0	2.096154	1	38	1.602734
53										
54										
55	44	27	1	12	0	0	3.961538	3.083333	40	1.676201
56										
57	45	25	1	12	0	0	1.634615	.75	12	1.301507
58										
59										
60	52	19	1	12	0	0	2.596154	2.583333	35	1.744638
61	52	18	1	12	0	0	3.576923	1	15	1.461484
62	50	20	1	10	0	0	1.730769	.1666667	24	1.347073
63	44	26	1	15	0	0	2.442308	.5	24	2.171913
64	50	20	1	12	0	0	3.692308	.9166667	40	1.161109
65	45	25	1	15	0	0	3.115385	1.083333	16	2.168054
66										
67	47	23	1	15	0	0	2.173077	1.25	32	2.350376
68	43	27	1	16	0	0	2.75	2.75	35	1.996854
69	49	21	1	12	1	0	3.384615	1.25	38	1.593724
70										
71										
72	52	18	1	12	1	0	2.769231	1.166667	16	1.18277
73										
