c1,c2,u,v,county,age,education,married,children,select,wagefull,wage,participation
-.4362051437331128,-.0969181613606749,-.2181025718665564,-.3757271758573856,1,22,10,1,0,16.791273,12.782769,,0
.3521407343985422,.3004763093337586,.1760703671992711,.4612343825025959,2,36,10,1,0,32.434814,20.312845,20.312845,1
1.077246550999598,-1.595962621239113,.5386232754997992,-.3762439679728917,3,28,10,1,0,19.185072,23.063478,,0
1.021283344455724,-1.710497905055047,.5106416722278621,-.4969991232605304,4,37,10,1,0,21.33601,24.5277,,0
-.4429599124441574,.3083397264655419,-.2214799562220787,-.0925108282493709,5,39,10,1,1,31.98987,16.142241,16.142241,1
-.4403342234305802,.6132288309656877,-.2201671117152901,.125984378566905,6,33,10,1,2,37.211811,14.957994,14.957994,1
-.6594345673830406,-.339425422905849,-.3297172836915203,-.7050841296963706,7,57,10,1,1,31.838991,18.443392,18.443392,1
-1.404323776377293,.7814062984377913,-.7021618881886467,-.4326538624597741,8,45,16,1,0,29.808153,17.574057,17.574057,1
-2.005776237032574,-.212088680759123,-1.002888118516287,-1.561717826098779,9,39,12,1,0,10.859386,8.7653427,,0
.4138534727407575,-.0820836264398274,.2069267363703787,.2328082600014988,0,25,10,0,3,35.293697,18.48312,18.48312,1
1.200745851010931,1.769789194541502,.6003729255054655,2.102270556491644,1,26,16,0,0,47.627247,29.404474,29.404474,1
.1398322968603403,-.4207631350549108,.0699161484301702,-.2006174576001456,2,28,10,1,1,26.292591,17.438993,,0
-1.361723136949812,.1509859881025052,-.680861568474906,-.8506494805476021,3,52,10,1,1,28.092207,13.229661,,0
.0391254731488289,.2253710062965096,.0195627365744144,.1876678926920527,4,38,16,0,3,44.452015,24.834753,24.834753,1
.4950034559207903,-.0722598376970427,.2475017279603952,.2968757680259296,5,36,16,1,4,54.962509,27.170021,27.170021,1
-.422531516822802,.104107822578004,-.211265758411401,-.2232630867202469,6,32,12,1,3,39.120842,16.864811,16.864811,1
1.603513136856083,-1.864539951556348,.8017565684280417,-.1968746798562252,7,36,16,1,5,54.037502,33.821079,33.821079,1
-.5372710593294024,.6174434763508562,-.2686355296647012,.0607866574655103,8,46,12,1,5,58.12944,18.976374,18.976374,1
-1.111081621589217,.0736579929359226,-.5555408107946084,-.7292773664802116,9,39,16,1,0,23.848671,18.133511,,0
-2.41259128011827,-.3853934482192106,-1.206295640059135,-1.971048619356113,0,34,10,0,0,-2.5525835,3.3244524,,0
.508018202354193,.790284082261217,.2540091011770965,.9189377720155113,1,32,10,0,3,46.327251,20.448109,20.448109,1
.8758810489081884,-1.427484508507747,.4379405244540942,-.3981822263668194,2,28,10,0,2,23.921814,21.855286,,0
.1462974216514592,.3507234197276846,.0731487108257296,.3521335132167178,3,41,12,1,0,34.625603,22.077784,22.077784,1
.1109746488031023,.8580398944788981,.0554873244015512,.6877737982565852,4,54,16,0,3,56.853287,28.465847,28.465847,1
.7934463751933601,-.0038553750123374,.3967231875966801,.5554295079150816,5,33,12,0,3,43.865154,24.360678,24.360678,1
-1.333340225226811,1.066645110615467,-.6666701126134054,-.1800337675969655,6,36,12,1,5,51.239594,12.199959,12.199959,1
-.6353151470937108,-.3823008516567339,-.3176575735468554,-.718583162117799,7,40,12,1,0,21.377003,17.188108,,0
-.0695238272622011,-.0006235202549507,-.0347619136311005,-.0493512803431322,8,38,16,1,2,41.607784,24.182858,24.182858,1
.340907566722752,-.4543641299475837,.170453783361376,-.0830423866197487,9,49,20,1,0,38.603493,32.845444,32.845444,1
.2972577647072001,.4540950359310617,.1486288823536,.5317840248459113,0,45,12,0,1,38.381409,23.783546,23.783546,1
.820101880067248,.1585318274558236,.410050940033624,.6895700677233316,1,49,10,1,1,45.37484,25.720612,25.720612,1
-1.496305687165944,-.9239512769522547,-.7481528435829718,-1.709153763872205,2,31,16,0,2,13.890155,14.222166,,0
-.3077120063398013,-1.455470885254858,-.1538560031699007,-1.250695973229146,3,39,10,0,3,23.091648,16.953728,,0
-.3549589098437623,.3068634865225939,-.1774794549218812,-.0316533792386993,4,39,16,1,1,37.220158,22.670246,22.670246,1
.4073960604271197,.6044858787478414,.2036980302135599,.7161282014830216,5,30,12,1,3,49.59354,21.444376,21.444376,1
-.5242779754816792,-1.461681069375166,-.2621389877408396,-1.407457379517253,6,45,12,1,0,15.110512,18.854332,,0
1.561150268916746,.4591694815041358,.780575134458373,1.424505602726377,7,55,12,1,1,58.094067,33.366901,33.366901,1
-.0534389617403497,.8413545523212286,-.0267194808701749,.5602567932429952,8,44,12,1,3,53.323082,21.479366,21.479366,1
.6037451410047021,1.311356954187421,.3018725705023511,1.356543169865954,9,43,16,1,4,70.478516,29.222471,29.222471,1
-2.620289983842361,2.402797428883736,-1.310144991921181,-.1359266046671102,0,50,10,0,0,25.868881,5.2782602,,0
-.9052773301188353,-.1541935367787851,-.4526386650594176,-.7464060973592239,1,24,10,0,2,18.143127,10.368336,,0
-1.325098604093685,-.8871248651361101,-.6625493020468424,-1.562545884713131,2,24,10,1,4,23.349449,7.8494081,,0
-1.037463592767981,-.3496239575012008,-.5187317963839906,-.9782646736971389,3,52,10,1,1,26.560823,15.175219,,0
-.1432215331983402,.409892535916182,-.0716107665991701,.1905087868287447,4,52,12,1,0,37.086105,22.54067,22.54067,1
-.6786902069612524,-.1892709307612854,-.3393451034806262,-.611933195266312,5,35,12,1,1,25.656801,15.927858,,0
-2.415482391418811,.0339307915907997,-1.207741195709406,-1.675119019906256,6,53,10,1,1,18.598572,7.1071057,,0
.1048175347001134,-.2618086119626883,.0524087673500567,-.1122995333848492,7,38,12,1,4,47.852406,21.228905,21.228905,1
-.3355747436015794,-1.129284960749456,-.1677873718007897,-1.038515493408013,8,43,16,1,1,26.737814,23.586552,,0
.1670105886662848,1.77020809655362,.0835052943331424,1.375362125001978,9,40,16,1,3,64.504349,26.002064,26.002064,1
.0342760505571228,-.4121505233051025,.0171380252785614,-.2687536046339722,0,24,10,0,3,28.874956,16.005657,,0
