idcode	birth_yr77	age77	race77	grade77	not_smsa77	south77	ttl_exp77	tenure77	hours77	ln_wage77
1	51	25	2	12	0	0	3.775641	1.5	32	1.778681
2	51	25	2	12	0	0	3.211539	2.666667	40	1.726721
3	45	31	2	12	0	0	6.942307	2.416667	40	1.622841
4										
5	45	31	1	12	0	0	7.576923	1.75	40	1.937521
6	46	30	1	12	0	0	6.416667	6.416667	40	1.96311
7										
9	51	25	1	12	0	0	7.583333	7.583333	40	2.091364
10	51	25	1	10	0	0	3.557692	0	40	1.321256
12										
13										
14										
15	48	28	1	16	0	0	6.557692	2	24	2.205023
16	48	28	1	15	0	0	5.307693	2.416667	40	1.93536
17	48	28	1	15	0	0	6.416667	6.416667	24	2.039102
18	48	28	1	15	0	0	1.519231	.9166667	23	1.237874
19										
20	48	28	1	15	0	0	5.416667	5.416667	40	2.10058
21										
22	47	29	1	15	0	0	4.878205	2.083333	24	2.129515
23	46	30	1	15	1	0	6.384616	1.666667	40	1.854699
24	46	30	1	14	0	0	5.27564	.3333333	16	1.806148
25	46	30	1	14	0	0	6.769231	3.416667	24	2.109713
26										
27										
29										
30	50	26	1	8	0	0	4.397436	.0833333	20	1.677365
33										
35										
36	51	25	1	12	0	0	7.589744	.6666667	56	2.262825
37										
38	44	32	1	12	0	0	7.5	2.333333	20	1.321256
39										
40										
41	47	29	1	12	0	0	5.685898	2.5	40	1.739161
43										
44	47	30	1	18	0	0	5.647436	3.166667	35	2.666665
45	52	24	1	12	0	0	5.833333	5.833333	38	2.183301
46										
47										
48										
49										
50										
51										
53										
54										
55										
56	49	28	1	12	0	0	1.423077	.6666667	50	2.350875
57	45	31	1	12	0	0	4.134615	3.5	20	1.79126
58										
59										
60	52	25	1	12	0	0	5.576923	.5	24	1.321256
61	52	24	1	12	1	0	6.461538	1.25	40	1.452467
62										
63	44	32	1	15	0	0	6	2.083333	16	2.543135
64										
65	45	31	1	15	0	0	5.923077	4.75	16	2.237547
66										
67	47	29	1	15	1	0	5.75	1	16	2.276767
68										
69	49	27	1	12	0	0	6.788462	2.416667	40	1.64706
70										
71	53	23	1	12	1	0	1.211539	.6666667	35	1.592402
72	52	25	1	12	0	0	6.134616	.1666667	32	2.157637
73	51	25	1	14	1	0	4.596154	2.833333	40	1.776146
75	49	27	2	11	1	0	5.692307	4.333333	40	2.350875
76										
77										
78	47	29	1	12	0	0	5.076923	0	35	2.287479
79										
80										
81										
82										
83	52	24	1	12	0	0	5.333333	.9166667	40	1.726721
84										
85										
86	44	32	1	17	0	0	7.288462	5.166667	40	2.483308
87										
88										
89										
91										
92	49	28	1	9	0	0	2.628205	.25	32	1.945453
93	48	28	2	13	0	0	5.788462	.75	35	1.924478
94	45	31	2	10	0	0	2.666667	2.666667	40	1.777012
95										
96										
97										
98	47	29	2	11	0	0	6.673077	.25	28	1.818388
99										
100										
103										
104	47	29	1	17	0	0	5.583333	5.583333	30	2.753186
105										
106										
107	44	32	2	8	0	0	3.910256	1.083333	40	1.64706
108	47	29	2	12	0	0	.3269231	0	40	1.571567
109										
110										
111	43	33	1	5	0	0	8.480769	4.916667	35	1.64706
112										
114										
115	51	25	2	12	0	0	3.333333	1.166667	40	1.513528
117										
118	45	32	3	8	0	0	2.044872	.9166667	40	1.705156
119										
120										
121	48	28	2	12	0	0	9.25	9.25	35	2.203369
122										
123										
124										
125										
126	48	28	2	12	0	0	8.25	8.25	37	2.087653
127										
128	52	25	1	12	0	0	7.583333	7.583333	37	1.842428
129	44	32	1	12	0	0	3.980769	.25	38	1.771056
130										
131										
132										
133										
134										
135										
136										
137										
138										
139										
141										
142	45	31	1	18	0	0	5.980769	0	6	2.994982
143	51	25	1	15	0	0	3.5	2.416667	32	2.285955
144										
145										
146										
147	47	29	1	12	0	0	6.416667	6.416667	37	2.067546
149										
150	50	26	1	16	0	0	2.282051	.4166667	40	1.867113
151										
152										
153	52	24	1	12	0	0	6.128205	5.333333	38	1.634605
156	51	25	2	11	0	0	2.544872	.3333333	40	1.545998
158	46	30	2	12	0	0	8.916667	8.916667	48	1.832881
159	51	25	1	11	0	0	5.833333	5.833333	37	1.868221
160										
161										
162	51	25	1	8	0	0	9.333333	9.333333	40	1.321256
163										
164	50	26	1	16	0	0	5.910256		35	1.872839
165										
166										
167										
168										
169										
170										
171	45	31	1	14	0	0	8.166667	8.166667	45	2.510318
172	43	33	1	15	0	0	6.602564	4.833333	13	2.239145
173	45	31	2	12	0	0	7.506411	.5	35	1.622861
174	44	32	1	12	0	0	9.416667	9.416667	35	2.107893
175										
176	50	26	2	12	0	0	4	4	43	1.671913
177										
178										
180										
181										
182										
183	45	31	1	12	0	0	5.871795	1.833333	40	2.030276
184	46	30	1	12	0	0	2.480769	.6666667	16	1.806148
185	50	26	1	15	0	1	7.429488	1.25	38	2.350875
186										
187	50	26	1	11	0	0	4.153846	.75	40	1.64706
188	46	30	1	12	0	0	2	.75	38	1.778681
189										
190										
191										
192										
193										
194										
195	52	25	1	12	0	0	5.858975	.9166667	40	1.651997
196	47	29	1	12	0	0	6.775641	1.75	40	1.665281
198										
199										
200										
201	49	27	1	12	0	0	5.730769	.0833333	20	1.79126
202										
203	46	30	1	11	0	1	7.583333	7.583333	40	1.870532
204										
205	49	27	1	16	0	0	7.807693	1.666667	40	2.19839
206										
207										
208	51	25	2	15	0	0	2.916667	2.916667	38	1.715136
209	52	24	2	12	0	0	3.365385	1.166667	40	1.72402
210	50	26	2	11	0	0	5.833333	.5833333	40	2.043962
211	48	28	2	11	0	0	4.666667	4.666667	40	1.911262
212	50	26	2	13	0	0	7.769231	7.583333	40	1.851884
213	44	32	1	10	0	0	5.692307	3	40	1.931021
214										
215	51	25	1	16	0	0	5.160256	.25	50	1.93536
216	48	28	1	15	0	0	6.262821	.1666667	32	1.945453
217										
218	52	24	1	12	1	0	5.653846	2.583333	40	1.961711
219	53	24	1	13	0	0	6.435897	.5	35	1.233517
220	49	27	1	12	0	0	7.25	7.25	35	1.950397
221										
222	50	26	1	16	0	0	5.083333	5.083333	40	2.31154
223	50	26	1	16	0	0	5.320513	.4166667	18	1.657728
224										
225										
226	53	23	1	16	0	0	2.25	.25	40	1.726721
227	46	30	1	15	0	1	7.942307	.25	80	1.188866
228	46	30	1	16	0	1	4.653846	.0833333	40	1.757637
229										
230										
231										
232	50	26	1	18	0	0	3.25641	.5833333	37	2.085793
233	52	24	1	16	1	0	2.5	2.5	35	1.753038
235										
236										
237	51	25	1	17	1	0	3.019231	2.416667	35	1.416566
238	45	31	1	14	0	0	8.5	8.5	38	2.080285
239										
242	48	28	1	12	0	0	7.089744	.3333333	12	1.137333
243										
244										
245										
246	48	29	1	13	0	0	5.826923	2.833333	40	1.742124
247	50	26	1	9	0	0	1.25	1	40	1.79126
250										
251										
252	50	27	1	12	0	0	7.288462	3.083333	40	1.851884
253										
254	49	27	1	12	0	0	5.711538	0	24	1.975662
255										
256										
257										
258										
259										
260										
261										
262										
263										
264	52	25	1	13	1	0	4.75	4.75	32	1.688673
265										
266										
