idcode	birth_yr82	age82	race82	grade82	not_smsa82	south82	ttl_exp82	tenure82	hours82	ln_wage82
1										
2	51	30	2	12	0	0	7.666667	7.666667	38	1.808289
3	45	36	2	12	0	0	11.75	7.333333	40	1.603419
4	45	36	1	17	0	0	7.576923	2.416667	48	1.280933
5	45	36	1	12	0	0	10.73077	3.333333	40	1.847272
6	46	35	1	12	0	0	11.41667	11.41667	48	1.814825
7										
9	51	30	1	12	0	0	12.58333	12.58333	40	2.312535
10	51	30	1	10	0	0	5	.0833333	40	.7974494
12										
13	47	34	1	14	0	0	8.365384	1	3	2.119863
14										
15	48	33	1	16	0	0	10.65385	2.083333	28	2.539237
16	48	33	1	15	0	0	10.09615	7.416667	40	2.128231
17										
18										
19	48	33	1	15	0	0	8.826923	4.833333	22	1.811562
20	48	33	1	15	0	0	9.916666	3.583333	16	1.927315
21										
22	47	34	1	15	0	0	9.628205	7.083333	24	2.209372
23	46	35	1	15	1	0	8.923078	1.583333	15	1.856298
24	46	35	1	14	0	0	10.12179	5.25	24	2.162172
25	46	35	1	14	0	0	11.57692	8.416667	24	2.226783
26										
27										
29										
30	50	31	1	8	0	0	4.955128	.5833333	40	1.410987
33										
35	52	29	1	11	0	0	2.858974	1.166667	8	1.131402
36										
37										
38										
39	43	38	1	16	0	0	2.397436	1.5	40	2.279316
40										
41										
43										
44	47	35	1	18	0	0	9.878205	3.5	35	2.85766
45	52	29	1	12	0	0	10.91667	10.91667	38	2.261763
46										
47										
48										
49	47	35	1	12	0	0	4.423077	1.5	10	1.386294
50										
51	50	31	1	12	0	0	5.788462	.25	38	1.821318
53	53	28	1	12	0	0	3.352564	1.083333	20	1.386294
54										
55										
56	49	32	1	12	0	0	3.807692	1.833333	10	2.70805
57	45	36	1	12	0	0	8.557693	.8333333		1.435084
58	44	37	1	13	0	0	9.5	9.5	24	1.957274
59										
60										
61										
62	50	31	1	10	1	0	2.115385	.3333333	37	1.275363
63										
64										
65										
66	48	33	1	13	0	0	6.115385	3.333333	20	1.398717
67										
68										
69										
70										
71	53	28	1	12	0	0	4.096154	3.5	30	1.386294
72										
73	51	30	1	14	1	0	9.365385	7.833333	40	1.848455
75	49	32	2	11	1	0	9.615384	9.333333	40	2.262804
76										
77	53	28	2	10	1	0	4.666667	4.666667	38	1.321756
78	47	34	1	12	0	0	9.826923	2.75	35	2.291524
79										
80										
81										
82										
83	52	29	1	12	0	0	10.21795	5.916667	35	2.039921
84										
85										
86	44	38	1	17	0	0	12.05769	2.416667	36	2.525729
87										
88										
89										
91										
92										
93										
94										
95										
96										
97										
98										
99										
100										
103										
104	47	34	1	17	0	0	5.852564	.1666667	4	1.264473
105	47	34	1	16	0	0	2.365385	.5	2	2.525729
106	49	32	2	12	0	1	11	11	40	2.211565
107	44	37	2	8	0	0	4.794871	.0833333	40	1.396633
108	47	35	2	12	0	0	1.576923	.0833333	5	2.620462
109	46	35	1	12	0	0	2.333333	2.333333	38	1.398717
110										
111	43	38	1	5	0	0	12.38461	2.083333	40	1.740466
112										
114										
115	51	31	2	12	0	0	6.25	6.25	40	1.658228
117										
118	45	37	3	8	0	0	6.833333	5.916667	32	1.638996
119										
120										
121	48	33	2	12	0	0	14.25	14.25	38	2.217026
122	53	28	2	15	0	0	4.173077	.25	40	1.252763
123										
124										
125										
126	48	33	2	12	0	0	13.25	13.25	38	2.061786
127										
128	52	30	1	12	0	0	12.66667	12.66667	35	2.234306
129	44	37	1	12	0	0	7.980769	3.75	38	1.754403
130										
131	47	34	1	12	0	0	5.974359	1.833333	35	1.578978
132										
133										
134										
135										
136										
137										
138	53	28	2	12	0	0	6.211539	6	38	1.778336
139										
141	45	36	1	14	0	0	6.698718	.1666667	38	1.778336
142										
143										
144										
145										
146										
147										
149										
150										
151										
152	51	31	1	18	0	0	8.416667	8.416667	40	1.345472
153	52	29	1	12	0	0	10.55128	10.33333	38	1.867176
156										
158										
159	51	30	1	11	0	0	10.91667	10.91667	38	1.957274
160										
161										
162	51	30	1	8	0	0	14.33333	14.33333	40	1.446919
163										
164										
165										
166	49	32	1	14	0	0	9.506411	7.25	40	2.283937
167										
168	47	34	1	17	0	0	6.282051	1.083333	40	1.211941
169	52	29	1	16	0	0	8.416667	8.416667	37	1.902107
170										
171	45	36	1	14	0	0	12.26923	3.666667	38	2.719978
172										
173	45	36	2	12	0	0	9.121796	1.416667	40	1.252763
174	44	37	1	12	0	0	14.41667	14.41667	35	2.328252
175										
176	50	31	2	12	0	0	8.538462	5.083333	40	1.870262
177										
178	46	36	2	10	0	0	.4166667	.4166667	29	1.155471
180										
181										
182										
183	45	36	1	12	0	0	10.75641	6.833333	48	1.905088
184	46	35	1	12	0	0	7.403846	5.75	40	2.005525
185	50	31	1	15	0	0	12.17949	2	15	2.583997
186	48	33	1	11	0	0	5.423077	.0833333	10	1.386294
187										
188	46	35	1	12	0	0	6.865385	2	40	2.302585
189										
190										
191										
192										
193										
194										
195	52	30	1	12	0	0	9.282052	.9166667	40	1.492903
196										
198										
199										
200										
201	49	32	1	12	0	0	10.21154	5.083333	36	1.821318
202										
203	46	35	1	11	0	1	12.58333	12.58333	38	2.012233
204										
205	49	33	1	16	0	0	10.90385	1.5	16	2.302585
206										
207	50	31	2	18	0	0	7.615385	.5	20	2.525729
208										
209	52	29	2	12	0	1	5.038462	1	35	1.702928
210	50	31	2	11	0	0	10.29487	5.583333	40	2.165618
211	48	33	2	11	0	0	9.583333	9.583333	40	1.851599
212	50	31	2	13	0	0	12.58333	12.58333	40	1.686399
213	44	37	1	10	0	0	10.44231	8	40	1.704748
214										
215										
216										
217										
218	52	29	1	12	1	0	7.442307	2.583333	18	1.321756
219	53	29	1	13	0	0	10.4359	2.5	40	1.791759
220	49	32	1	12	0	0	11.32692	.4166667	35	1.677096
221										
222										
223	50	31	1	16	0	0	9.685898	2.333333	40	2.169054
224										
225										
226										
